"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2015","2015",1.7151344203,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2015","2015",0.5073973482,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2015","2015",1.1963575859,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2015","2015",2.831506457,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2015","2015",-0.3879281139,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2015","2015",5.2707900976,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2015","2015",-2.4331235807,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2015","2015",1.9207374891,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2015","2015",-0.0395515051,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2015","2015",1.236121768,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2015","2015",-0.0456118144,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2015","2015",-1.9636961666,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2015","2015",5.7599013646,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2015","2015",5.0547737093,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2015","2015",4.9343372443,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2015","2015",3.6976332623,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2015","2015",2.6875613683,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2015","2015",2.541586342,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2015","2015",2.7354772305,,
"ITA","Italy","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2015","2015",2.7336174974,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2015","2015",-1.815986405,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2015","2015",1.4160112932,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2015","2015",-0.9798869657,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2015","2015",-2.1754610257,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2015","2015",-0.2898998262,,
